AAG ORDER NUMBER,CUSTOMER NAME,ORDER DATE PO RECEIVED,CUSTOMER ALT PO,AAG SEASON,CUSTOMER SEASON,DROP,MONTH,RANGE / COLLECTION,PROMO GROUP / CAMPAIGN (HOT 30/GLOBAL EDIT,CATEGORY,PATTERN ID,MAKE OR BUY,PLANNER,ORIGINAL ALIAS/RELATED ITEM,PRICING ALIAS/RELATED ITEM,ALIAS/RELATED ITEM,CUSTOMER STYLE,CUSTOMER''S COLOUR CODE (CUSTOM FIELD) CUSTOMER PROVIDES THIS,ACTIVE,All,Multiple Items,FACILITY CODE,BULK AGREEMENT NUMBER,Sum of TOTAL QTY,BULK AGREEMENT DESCRIPTION,CUSTOMER CODE,CO NUMBER - INITIAL DISTRO,CO NUMBER (INITIAL DISTRO),CO NUMBER (ALLOCATION DISTRO),CO NUMBER - ALLOCATION DISTRO,PO NUMBER,AAG SEASON CODE,INFOR MAKE/BUY CODE,PLANNER2,ITEM TYPE CODE,INFOR ITEM TYPE CODE,PRODUCT GROUP CODE,MAKE/BUY CODE,INFOR PRODUCT GROUP CODE,ITEM GROUP CODE,STYLE DESCRIPTION,INFOR ITEM GROUP CODE,GENDER GROUP CODE,INFOR GENDER GROUP CODE,FABRIC TYPE CODE,INFOR FABRIC TYPE CODE,CUSTOMER COLOUR DESCRIPTION,UNIT OF MEASURE,INFOR COLOUR CODE,XXXS,XXS,XS,S,S/M,M,M/L,L,L/XL,XL,XXL,XXXL,0,2,4,6,8,10,12,14,16,18,20,0-3M,3-6M,6-9M,9-12M,12-18M,18-24M,2T,3T,4T,5T,6T,30/30,30/32,32/30,32/32,34/30,34/32,36/30,36/32,32C,32D,32DD,34C,34D,34DD,36C,36D,36DD,OS,ONE SIZE,0w,10w,12w,1X,2/3,22,24,26,27,28,28-30L,29,2w,2X,2XL,30,30-30L,30-31L,30-32L,30X30,31,31/30,31/32,31-30L,31-31L,31-32L,31X30,32,32/34,32/36,32-30L,32-31L,32-32L,32DDD,32X30,33,33/30,33/32,33-30L,33-31L,33-32L,34,34/34,34-30L,34-31L,34-32L,34DDD,34X30,35,35/30,35/32,35-30L,35-31L,35-32L,36,36/34,36-30L,36-31L,36-32L,36DDD,36X30,38,38/30,38/32,38/34,38/36,38-30L,38-31L,38-32L,38C,38D,38DD,38DDD,38X30,3X,3XL,4/5,40,40/30,40/32,40-30L,40-31L,40X30,42,44,46,48,4w,4X,4XL,4XT,5,50,52,54,56,58,6/7,60,6w,7,8w,9,L(10-12),L(14-16),M(10-12),M(8-10),S(6-8),TOTAL QTY,ORDER TYPE,DESTINATION,DESTINATION WAREHOUSE,ALLOCATION (CHANNEL),SHOP NAME,COLLECTION DELIVERY,SHOP CODE,TRACKING NUMBER,ETA CUSTOMER WAREHOUSE DATE,EX FACTORY DATE,DELIVERY TERMS,PLANNED DELIVERY METHOD,DELIVERY CODE (MODL),NOTES,VALIDATION,VALIDATION2,VALIDATION3,VALIDATION4,CUSTOMER PRICE,USA ONLY LSTP 75% EX WORKS,EX WORKS (USD),ADMINISTRATION FEE,DESIGN FEE,FX CHARGE,HANDLING,PNP,SURCHARGE FEE,DISCOUNT,FINAL FOB (USD),HS CODE,US DUTY RATE,US DUTY,FREIGHT,US TARIFF RATE,US TARIFF,DDP US (USD),UK DUTY RATE,UK FREIGHT,UK INSURANCE,UK CIF,UK DUTY,DDP UK (USD),CAN DUTY RATE,CAN DUTY,DDP CAN (USD),SMS PRICE USD,FINAL PRICES Y/N,NOTES FOR PRICE,PRICING NOTES,Delta,Warehouse,ORTP (ORDER TYPE),Longson Alias,BUAR (BUSINESS AREA UNIT),ADID,record_uuid
GRE-00001,GREYSON CLOTHIERS,,,,2022 CLASSICS,,,,,,,MANUFACTURED,,,,,MCLSCB25,,,,,,,,,,,,,,2492,,,,,,,,,,FULTON WORKOUT SHORT,,,,,,001 - SHEPHERD,PCE,,,,,48.0,,148.0,,167.0,,111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,ACTIVE,USA-MSL,,,,,,,,2022-01-01,DDP,AIR/SEA SPLIT,,Added 24.8.21,2492MCLSCB25001 - SHEPHERD500,,,,,19.05,25.4,0.1,,0.33,0.1,,,,25.93,,0,0,,0.075,1.43,27.36,,,,,,,,,,54.72,,,,,,,,,,93EBF2DB-E46B-4E67-9C03-9425C387F2F2
GRE-00002,GREYSON CLOTHIERS,,,,2022 CLASSICS,,,,,,,MANUFACTURED,,,,,MCLSCB25,,,,,,,,,,,,,,2492,,,,,,,,,,FULTON WORKOUT SHORT,,,,,,065 - SHADOW,PCE,,,,,12.0,,110.0,,100.0,,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.0,ACTIVE,USA-MSL,,,,,,,,2022-01-01,DDP,AIR/SEA SPLIT,,Added 24.8.21,2492MCLSCB25065 - SHADOW300,,,,,19.05,25.4,0.1,,0.33,0.1,,,,25.93,,0,0,,0.075,1.43,27.36,,,,,,,,,,54.72,,,,,,,,,,73FCAD86-BCA9-48DF-AE4A-149D66DE01AD
GRE-00003,GREYSON CLOTHIERS,,,,2022 CLASSICS,,,,,,,MANUFACTURED,,,,,MCLSCB25,,,,,,,,,,,,,,2492,,,,,,,,,,FULTON WORKOUT SHORT,,,,,,100 - ARCTIC,PCE,,,,,39.0,,93.0,,88.0,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.0,ACTIVE,USA-MSL,,,,,,,,2022-01-01,DDP,AIR/SEA SPLIT,,Added 24.8.21,2492MCLSCB25100 - ARCTIC300,,,,,19.05,25.4,0.1,,0.33,0.1,,,,25.93,,0,0,,0.075,1.43,27.36,,,,,,,,,,54.72,,,,,,,,,,A65A7530-70C7-45F8-B423-CDDF377DAB60
GRE-00004,GREYSON CLOTHIERS,,,,2022 CLASSICS,,,,,,,MANUFACTURED,,,,,MCLSCO36,,,,,,,,,,,,,,2492,,,,,,,,,,SIOUX VEST,,,,,,410 - MALTESE,PCE,,,,,25.0,,75.0,,90.0,,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.0,ACTIVE,USA-MSL,,,,,,,,2022-01-01,DDP,AIR,,Added 24.8.21 ship mode & qty updated 10.12.21,2492MCLSCO36410 - MALTESE250,,,,,33.19,44.25,0.2,,0.61,0.1,,,,45.16,,0,0,,0.075,2.49,47.65,,,,,,,,,,95.3,,,,,,,,,,96E623F6-FA39-458D-8459-73DF24E9BA24
GRE-00005,GREYSON CLOTHIERS,,,,2022 CLASSICS,,,,,,,MANUFACTURED,,,,,MCLSCO36,,,,,,,,,,,,,,2492,,,,,,,,,,NTAUK,,,,,,410 - MALTESE,PCE,,,,,52.0,,166.0,,206.0,,103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550.0,ACTIVE,USA-MSL,,,,,,,,2022-01-01,DDP,SEA,,added 10.12.21,2492MCLSCO36410 - MALTESE550,,,,,33.19,44.25,0.2,,0.61,0.1,,,,45.16,,0,0,,0.075,2.49,47.65,,,,,,,,,,95.3,,,,,,,,,,89784C94-8300-4AB5-BA41-F707133C4FEC
GRE-00006,GREYSON CLOTHIERS,,,,2022 CLASSICS,,,,,,,MANUFACTURED,,,,,MCLSCO40,,,,,,,,,,,,,,2492,,,,,,,,,,YUKON X-LITE VEST,,,,,,030 - STINGRAY,PCE,,,,,43.0,,52.0,,287.0,,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600.0,ACTIVE,USA-MSL,,,,,,,,2022-01-01,DDP,AIR/SEA SPLIT,,Added 24.8.21,2492MCLSCO40030 - STINGRAY600,,,,,37.86,50.48,0.1,,0.33,0.1,,,,51.01,,0,0,,0.075,2.84,53.85,,,,,,,,,,107.7,,,,,,,,,,FF91806E-3A56-4709-BB81-38D6C70CB370
GRE-00007,GREYSON CLOTHIERS,,,,2022 CLASSICS,,,,,,,MANUFACTURED,,,,,MCLSCO40,,,,,,,,,,,,,,2492,,,,,,,,,,YUKON X-LITE VEST,,,,,,001 - SHEPHERD,PCE,,,,,1.0,,,,228.0,,139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.0,ACTIVE,USA-MSL,,,,,,,,2022-01-01,DDP,AIR/SEA SPLIT,,Added 24.8.21,2492MCLSCO40001 - SHEPHERD398,,,,,37.86,50.48,0.1,,0.33,0.1,,,,51.01,,0,0,,0.075,2.84,53.85,,,,,,,,,,107.7,,,,,,,,,,BCE0D8BC-F74E-44A3-886D-D271CBE916D6
GRE-00008,GREYSON CLOTHIERS,,,,2022 CLASSICS,,,,,,,MANUFACTURED,,,,,MCLSCO40,,,,,,,,,,,,,,2492,,,,,,,,,,YUKON X-LITE VEST,,,,,,417 - MALTESE BLUE,PCE,,,,,23.0,,,,355.0,,216.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,642.0,ACTIVE,USA-MSL,,,,,,,,2022-01-01,DDP,AIR/SEA SPLIT,,Added 24.8.21,2492MCLSCO40417 - MALTESE BLUE642,,,,,37.86,50.48,0.1,,0.33,0.1,,,,51.01,,0,0,,0.075,2.84,53.85,,,,,,,,,,107.7,,,,,,,,,,265B409E-25C4-4C7A-B4B0-EE9FF80609FC
GRE-00009,GREYSON CLOTHIERS,,,,2022 CLASSICS,,,,,,,MANUFACTURED,,,,,MCLSCO43,,,,,,,,,,,,,,2492,,,,,,,,,,CAMO SIOUX VEST,,,,,,961 - SHEPHERD CAMO,PCE,,,,,54.0,,173.0,,217.0,,131.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600.0,ACTIVE,USA-MSL,,,,,,,,2022-01-01,DDP,AIR,,Added 24.8.21 ship mode updated 10.12.21,2492MCLSCO43961 - SHEPHERD CAMO600,,,,,38.84,51.78,0.2,,0.61,0.1,,,,52.69,,0,0,,0.075,2.91,55.6,,,,,,,,,,111.2,,,,,,,,,,E524A9E3-6156-4C04-AA9B-AC993E2AFEB7
GRE-00010,GREYSON CLOTHIERS,,,,2022 CLASSICS,,,,,,,MANUFACTURED,,,,,MCLSCO50,,,,,,,,,,,,,,2492,,,,,,,,,,YUKON HYBRID JACKET,,,,,,001 - SHEPHERD,PCE,,,,,18.0,,25.0,,143.0,,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.0,ACTIVE,USA-MSL,,,,,,,,2022-01-01,DDP,AIR/SEA SPLIT,,Added 24.8.21,2492MCLSCO50001 - SHEPHERD300,,,,,39.65,52.86,0.1,,0.33,0.1,,,,53.39,,0,0,,0.075,2.97,56.36,,,,,,,,,,112.72,,,,,,,,,,377085A2-40A0-48BB-A0E3-AE5180DF44C7
