Customer_PO,Shipping_Method,Style,Color,Shipped_Date,Customer,CartonID,Season,Size,SKUBarcode,shippingCountry,Qty
4755,AIR,LFA25K91A,994 - AIR,2025-07-25,GREYSON,1005764,,L,195386626873,USA,189
4755,AIR,LFA25K98,531 - WISTERIA,2025-07-25,GREYSON,1005764,,L,195386626958,USA,182
4755,AIR,LFA25O77,001 - SHEPHERD,2025-07-25,GREYSON,1005764,,L,195386627252,USA,169
4816,AIR,LFA25K97A,591 - VINTAGE INDIGO,2025-07-25,GREYSON,1005764,,L,195386627924,USA,109
4909,AIR,MFA24O60,001 - SHEPHERD,2025-07-25,GREYSON,1005764,,2XL,195386429528,USA,209
4909,AIR,MFA25K71A,591 - VINTAGE INDIGO,2025-07-25,GREYSON,1005764,,2XL,195386632140,USA,1460
4909,AIR,MFA25O82,417 - MALTESE BLUE,2025-07-25,GREYSON,1005764,,2XL,195386632447,USA,420
4909,AIR,MFA25O82,895 - SHEPHERD/DK GREY HEATHER,2025-07-25,GREYSON,1005764,,2XL,195386632492,USA,311
4909,AIR,MFA25O83,417 - MALTESE BLUE,2025-07-25,GREYSON,1005764,,2XL,195386632546,USA,420
4909,AIR,MFA25O83,895 - SHEPHERD/DK GREY HEATHER,2025-07-25,GREYSON,1005764,,2XL,195386632591,USA,311
4909,AIR,YFA25K71A,591 - VINTAGE INDIGO,2025-07-25,GREYSON,1005764,,L,195386632638,USA,337
4928,AIR,MFA24K72LS,417 - MALTESE BLUE,2025-07-25,GREYSON,1005764,,2XL,195386432528,USA,1053
4928,AIR,MFA25K72LS,001 - SHEPHERD,2025-07-25,GREYSON,1005764,,2XL,195386625067,USA,1034
4928,AIR,MFA25K72LS,100 - ARCTIC,2025-07-25,GREYSON,1005764,,2XL,195386560665,USA,930
4928,AIR,MFA25K72LS,476 - WOLF BLUE,2025-07-25,GREYSON,1005764,,2XL,195386624961,USA,1045
4936,AIR,MFA23B49,417 - MALTESE BLUE,2025-07-25,GREYSON,1005764,,2XL,195386314862,USA,233
5075,AIR,MFA25K65,898 - VARSITY RED,2025-07-25,GREYSON,1005764,,2XL,195386560467,USA,626
5075,AIR,MFA25K72LS,898 - VARSITY RED,2025-07-25,GREYSON,1005764,,2XL,195386560719,USA,616
5466,AIR,LSP25K70,001 - SHEPHERD,2025-07-25,GREYSON,1005764,,L,195386562973,USA,517
5466,AIR,LSP25K70,100 - ARCTIC,2025-07-25,GREYSON,1005764,,L,195386562874,USA,510
5466,AIR,LSP25K70,417 - MALTESE BLUE,2025-07-25,GREYSON,1005764,,L,195386562928,USA,530
