Customer,CartonID,Customer_PO,Season,Shipped_Date,Style,Color,Size,SKUBarcode,Shipping_Method,shippingCountry,Qty
GREYSON,1005764,4755,,2025-07-25,LFA25K91A,994 - AIR,L,195386626873,AIR,USA,30
GREYSON,1005764,4755,,2025-07-25,LFA25K91A,994 - AIR,M,195386626880,AIR,USA,57
GREYSON,1005764,4755,,2025-07-25,LFA25K91A,994 - AIR,S,195386626897,AIR,USA,65
GREYSON,1005764,4755,,2025-07-25,LFA25K91A,994 - AIR,XL,195386626903,AIR,USA,13
GREYSON,1005764,4755,,2025-07-25,LFA25K91A,994 - AIR,XS,195386626910,AIR,USA,24
GREYSON,1005764,4755,,2025-07-25,LFA25K98,531 - WISTERIA,L,195386626958,AIR,USA,30
GREYSON,1005764,4755,,2025-07-25,LFA25K98,531 - WISTERIA,M,195386626941,AIR,USA,54
GREYSON,1005764,4755,,2025-07-25,LFA25K98,531 - WISTERIA,S,195386626934,AIR,USA,63
GREYSON,1005764,4755,,2025-07-25,LFA25K98,531 - WISTERIA,XL,195386626965,AIR,USA,12
GREYSON,1005764,4755,,2025-07-25,LFA25K98,531 - WISTERIA,XS,195386626927,AIR,USA,23
GREYSON,1005764,4755,,2025-07-25,LFA25O77,001 - SHEPHERD,L,195386627252,AIR,USA,22
GREYSON,1005764,4755,,2025-07-25,LFA25O77,001 - SHEPHERD,M,195386627245,AIR,USA,53
GREYSON,1005764,4755,,2025-07-25,LFA25O77,001 - SHEPHERD,S,195386627238,AIR,USA,57
GREYSON,1005764,4755,,2025-07-25,LFA25O77,001 - SHEPHERD,XL,195386627269,AIR,USA,14
GREYSON,1005764,4755,,2025-07-25,LFA25O77,001 - SHEPHERD,XS,195386627221,AIR,USA,23
GREYSON,1005764,4816,,2025-07-25,LFA25K97A,591 - VINTAGE INDIGO,L,195386627924,AIR,USA,17
GREYSON,1005764,4816,,2025-07-25,LFA25K97A,591 - VINTAGE INDIGO,M,195386627931,AIR,USA,34
GREYSON,1005764,4816,,2025-07-25,LFA25K97A,591 - VINTAGE INDIGO,S,195386627948,AIR,USA,37
GREYSON,1005764,4816,,2025-07-25,LFA25K97A,591 - VINTAGE INDIGO,XL,195386627955,AIR,USA,7
GREYSON,1005764,4816,,2025-07-25,LFA25K97A,591 - VINTAGE INDIGO,XS,195386627962,AIR,USA,14
GREYSON,1005764,4909,,2025-07-25,MFA24O60,001 - SHEPHERD,2XL,195386429528,AIR,USA,14
GREYSON,1005764,4909,,2025-07-25,MFA24O60,001 - SHEPHERD,L,195386429504,AIR,USA,74
GREYSON,1005764,4909,,2025-07-25,MFA24O60,001 - SHEPHERD,M,195386429498,AIR,USA,63
GREYSON,1005764,4909,,2025-07-25,MFA24O60,001 - SHEPHERD,S,195386429290,AIR,USA,22
GREYSON,1005764,4909,,2025-07-25,MFA24O60,001 - SHEPHERD,XL,195386429511,AIR,USA,36
GREYSON,1005764,4909,,2025-07-25,MFA25K71A,591 - VINTAGE INDIGO,2XL,195386632140,AIR,USA,121
GREYSON,1005764,4909,,2025-07-25,MFA25K71A,591 - VINTAGE INDIGO,L,195386632126,AIR,USA,488
GREYSON,1005764,4909,,2025-07-25,MFA25K71A,591 - VINTAGE INDIGO,M,195386632119,AIR,USA,408
GREYSON,1005764,4909,,2025-07-25,MFA25K71A,591 - VINTAGE INDIGO,S,195386632102,AIR,USA,113
GREYSON,1005764,4909,,2025-07-25,MFA25K71A,591 - VINTAGE INDIGO,XL,195386632133,AIR,USA,330
