AAG ORDER NUMBER,PLANNED DELIVERY METHOD,CUSTOMER STYLE,PO NUMBER,ORDER TYPE,ALIAS/RELATED ITEM,CUSTOMER ALT PO,RESOLVED_BY
PEL-05546,SEA,WB00943,20081,ACTIVE,,,PO NUMBER
PEL-05547,SEA,WB00943,20081,ACTIVE,,,PO NUMBER
PEL-05548,SEA,WB00812,20081,ACTIVE,,,PO NUMBER
PEL-05549,SEA,WB00812,20081,ACTIVE,,,PO NUMBER
PEL-05550,SEA,WB00812,20081,ACTIVE,,,PO NUMBER
PEL-05551,SEA,WB00812,20081,ACTIVE,,,PO NUMBER
PEL-05552,SEA,WB01154,20081,ACTIVE,,,PO NUMBER
PEL-05546,SEA,WB00943,20313,ACTIVE,,,PO NUMBER
PEL-05546,SEA,WB00943 P,20313,ACTIVE,,,PO NUMBER
PEL-05546,SEA,WB00943 P,TBD,CANCELLED,,,PO NUMBER
PEL-05547,SEA,WB00943,20313,ACTIVE,,,PO NUMBER
PEL-05547,SEA,WB00943 P,20313,ACTIVE,,,PO NUMBER
PEL-05548,SEA,WB00812,20313,ACTIVE,,,PO NUMBER
PEL-05549,SEA,WB00812,20313,ACTIVE,,,PO NUMBER
PEL-05550,SEA,WB00812,20313,ACTIVE,,,PO NUMBER
PEL-05551,SEA,WB00812,20313,ACTIVE,,,PO NUMBER
PEL-05552,SEA,WB01154,20313,ACTIVE,,,PO NUMBER
PEL-05546,SEA,WB00943,TBD,CANCELLED,,,PO NUMBER
PEL-05547,SEA,WB00943,TBD,CANCELLED,,,PO NUMBER
PEL-05547,SEA,WB00943 P,TBD,CANCELLED,,,PO NUMBER
