AAG ORDER NUMBER,CUSTOMER NAME,ORDER DATE PO RECEIVED,CUSTOMER ALT PO,AAG SEASON,CUSTOMER SEASON,DROP,MONTH,RANGE / COLLECTION,PROMO GROUP / CAMPAIGN (HOT 30/GLOBAL EDIT,CATEGORY,PATTERN ID,MAKE OR BUY,PLANNER,ORIGINAL ALIAS/RELATED ITEM,PRICING ALIAS/RELATED ITEM,ALIAS/RELATED ITEM,CUSTOMER STYLE,CUSTOMER''S COLOUR CODE (CUSTOM FIELD) CUSTOMER PROVIDES THIS,ACTIVE,All,Multiple Items,FACILITY CODE,BULK AGREEMENT NUMBER,Sum of TOTAL QTY,BULK AGREEMENT DESCRIPTION,CUSTOMER CODE,CO NUMBER - INITIAL DISTRO,CO NUMBER (INITIAL DISTRO),CO NUMBER (ALLOCATION DISTRO),CO NUMBER - ALLOCATION DISTRO,PO NUMBER,AAG SEASON CODE,INFOR MAKE/BUY CODE,PLANNER2,ITEM TYPE CODE,INFOR ITEM TYPE CODE,PRODUCT GROUP CODE,MAKE/BUY CODE,INFOR PRODUCT GROUP CODE,ITEM GROUP CODE,STYLE DESCRIPTION,INFOR ITEM GROUP CODE,GENDER GROUP CODE,INFOR GENDER GROUP CODE,FABRIC TYPE CODE,INFOR FABRIC TYPE CODE,CUSTOMER COLOUR DESCRIPTION,UNIT OF MEASURE,INFOR COLOUR CODE,XXXS,XXS,XS,S,S/M,M,M/L,L,L/XL,XL,XXL,XXXL,0,2,4,6,8,10,12,14,16,18,20,0-3M,3-6M,6-9M,9-12M,12-18M,18-24M,2T,3T,4T,5T,6T,30/30,30/32,32/30,32/32,34/30,34/32,36/30,36/32,32C,32D,32DD,34C,34D,34DD,36C,36D,36DD,OS,ONE SIZE,0w,10w,12w,1X,2/3,22,24,26,27,28,28-30L,29,2w,2X,2XL,30,30-30L,30-31L,30-32L,30X30,31,31/30,31/32,31-30L,31-31L,31-32L,31X30,32,32/34,32/36,32-30L,32-31L,32-32L,32DDD,32X30,33,33/30,33/32,33-30L,33-31L,33-32L,34,34/34,34-30L,34-31L,34-32L,34DDD,34X30,35,35/30,35/32,35-30L,35-31L,35-32L,36,36/34,36-30L,36-31L,36-32L,36DDD,36X30,38,38/30,38/32,38/34,38/36,38-30L,38-31L,38-32L,38C,38D,38DD,38DDD,38X30,3X,3XL,4/5,40,40/30,40/32,40-30L,40-31L,40X30,42,44,46,48,4w,4X,4XL,4XT,5,50,52,54,56,58,6/7,60,6w,7,8w,9,L(10-12),L(14-16),M(10-12),M(8-10),S(6-8),TOTAL QTY,ORDER TYPE,DESTINATION,DESTINATION WAREHOUSE,ALLOCATION (CHANNEL),SHOP NAME,COLLECTION DELIVERY,SHOP CODE,TRACKING NUMBER,ETA CUSTOMER WAREHOUSE DATE,EX FACTORY DATE,DELIVERY TERMS,PLANNED DELIVERY METHOD,DELIVERY CODE (MODL),NOTES,VALIDATION,VALIDATION2,VALIDATION3,VALIDATION4,CUSTOMER PRICE,USA ONLY LSTP 75% EX WORKS,EX WORKS (USD),ADMINISTRATION FEE,DESIGN FEE,FX CHARGE,HANDLING,PNP,SURCHARGE FEE,DISCOUNT,FINAL FOB (USD),HS CODE,US DUTY RATE,US DUTY,FREIGHT,US TARIFF RATE,US TARIFF,DDP US (USD),UK DUTY RATE,UK FREIGHT,UK INSURANCE,UK CIF,UK DUTY,DDP UK (USD),CAN DUTY RATE,CAN DUTY,DDP CAN (USD),SMS PRICE USD,FINAL PRICES Y/N,NOTES FOR PRICE,PRICING NOTES,Delta,Warehouse,ORTP (ORDER TYPE),Longson Alias,BUAR (BUSINESS AREA UNIT),ADID,record_uuid,RESOLVED_BY,ORDER_KEY
ACT-00002,ACTIVELY BLACK,2023-07-10,,2024 SPRING,SPRING 24,DROP 01,,PERFORMANCE JERSEY & LEGGINGS,,CORE,,MANUFACTURED,JENNIFER NYBERG,,,,MS23PH1,,,,,,,,,,,,,,AB0001,,,,,,,,,,MEN'S PERFORMANCE PULLOVER HOODIE,,,,,,BLACK,PCE,,,,,30.0,,75.0,,120.0,,115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,500.0,ACTIVE,US,,,,,,,2024-01-10,2023-12-01,DDP,SEA,,Added 11.7.23 qty updated 18.7.23 season updated 23.8.23 dest updated 15.11.23 desc updated 22.11.23,AB0001MS23PH1BLACK500,,,,28.31,20.55,27.4,0.2,,0.61,0.1,,,,28.31,6110.30.30.41,0.32,6.58,,0.075,1.54,36.43,,,,,,,,,,56.62,,PRICES ADDED 11.7.23 ex-works price update 11.17,,,,,,,,35C3F165-49EC-4310-A067-ACF243DABB44,,ACT-00002|SEA|MS23PH1|AB0001|ACTIVE||
ACT-00002,ACTIVELY BLACK,2023-07-10,,2024 SPRING,SPRING 24,DROP 01,,PERFORMANCE JERSEY & LEGGINGS,,CORE,,MANUFACTURED,JENNIFER NYBERG,,,,MS23PH1,,,,,,,,,,,,,,AB0001,,,,,,,,,,MEN'S PERFORMANCE PULLOVER HOODIE,,,,,,BLACK,PCE,,,,,30.0,,75.0,,120.0,,115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,500.0,ACTIVE,US,,,,,,,2024-01-10,2023-12-01,DDP,SEA,,Added 11.7.23 qty updated 18.7.23 season updated 23.8.23 dest updated 15.11.23 desc updated 22.11.23,AB0001MS23PH1BLACK500,,,,28.3100,20.5500,27.4000,0.2000,,0.6100,0.1000,,,,28.309999999999999,6110.30.30.41,0.320000,6.5800,,0.075000,1.5400,36.430000000000000,,,,,,,,,,56.6200,,PRICES ADDED 11.7.23 ex-works price update 11.17,,,,,,,,A2E51988-9928-40A7-8714-BB9031C8A851,,ACT-00002|SEA|MS23PH1|AB0001|ACTIVE||
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[DIFF_COLS] ['CUSTOMER PRICE', 'USA ONLY LSTP 75% EX WORKS', 'EX WORKS (USD)', 'ADMINISTRATION FEE', 'FX CHARGE', 'HANDLING', 'FINAL FOB (USD)', 'US DUTY RATE', 'US DUTY', 'US TARIFF RATE', 'US TARIFF', 'DDP US (USD)', 'SMS PRICE USD', 'record_uuid']"
ACT-00003,ACTIVELY BLACK,2023-07-10,,2024 SPRING,SPRING 24,DROP 01,,PERFORMANCE JERSEY & LEGGINGS,,CORE,,MANUFACTURED,JENNIFER NYBERG,,,,MS23TE1,,,,,,,,,,,,,,AB0001,,,,,,,,,,MEN'S SHORT SLEEVE PERFORMANCE HOODIE,,,,,,BLACK,PCE,,,,,30.0,,75.0,,120.0,,115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,500.0,ACTIVE,US,,,,,,,2024-01-10,2023-12-01,DDP,SEA,,Added 11.7.23 qty updated 18.7.23 season updated 23.8.23 dest updated 15.11.23 desc updated 22.11.23,AB0001MS23TE1BLACK500,,,,24.1,17.39,23.19,0.2,,0.61,0.1,,,,24.1,6109.30.30.53,0.32,5.56,,0.075,1.3,30.96,,,,,,,,,,48.2,,PRICES ADDED 11.7.23 ex-works price update 11.17 hts code update 12.8,,,,,,,,3972A9B6-8FFF-47F4-AF41-14C181E5D6D3,,ACT-00003|SEA|MS23TE1|AB0001|ACTIVE||
ACT-00003,ACTIVELY BLACK,2023-07-10,,2024 SPRING,SPRING 24,DROP 01,,PERFORMANCE JERSEY & LEGGINGS,,CORE,,MANUFACTURED,JENNIFER NYBERG,,,,MS23TE1,,,,,,,,,,,,,,AB0001,,,,,,,,,,MEN'S SHORT SLEEVE PERFORMANCE HOODIE,,,,,,BLACK,PCE,,,,,30.0,,75.0,,120.0,,115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,500.0,ACTIVE,US,,,,,,,2024-01-10,2023-12-01,DDP,SEA,,Added 11.7.23 qty updated 18.7.23 season updated 23.8.23 dest updated 15.11.23 desc updated 22.11.23,AB0001MS23TE1BLACK500,,,,24.1000,17.3900,23.1900,0.2000,,0.6100,0.1000,,,,24.100000000000001,6109.30.30.53,0.320000,5.5600,,0.075000,1.3000,30.960000000000001,,,,,,,,,,48.2000,,PRICES ADDED 11.7.23 ex-works price update 11.17 hts code update 12.8,,,,,,,,EE2A6D8A-8BCC-437D-A7B5-E292EEAED0E1,,ACT-00003|SEA|MS23TE1|AB0001|ACTIVE||
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[DIFF_COLS] ['CUSTOMER PRICE', 'USA ONLY LSTP 75% EX WORKS', 'EX WORKS (USD)', 'ADMINISTRATION FEE', 'FX CHARGE', 'HANDLING', 'FINAL FOB (USD)', 'US DUTY RATE', 'US DUTY', 'US TARIFF RATE', 'US TARIFF', 'DDP US (USD)', 'SMS PRICE USD', 'record_uuid']"
ACT-00004,ACTIVELY BLACK,2023-07-10,,2024 SPRING,SPRING 24,DROP 01,,PERFORMANCE JERSEY & LEGGINGS,,CORE,,MANUFACTURED,JENNIFER NYBERG,,,,MS23TA1,,,,,,,,,,,,,,AB0001,,,,,,,,,,MEN'S SLEEVELESS PERFORMANCE HOODIE,,,,,,BLACK,PCE,,,,,30.0,,75.0,,120.0,,115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,500.0,ACTIVE,US,,,,,,,2024-01-10,2023-12-01,DDP,SEA,,Added 11.7.23 qty updated 18.7.23 season updated 23.8.23 dest updated 15.11.23 desc updated 22.11.23,AB0001MS23TA1BLACK500,,,,21.91,15.75,21,0.2,,0.61,0.1,,,,21.91,6109.90.10.13,0.32,5.04,,0.075,1.18,28.13,,,,,,,,,,43.82,,PRICES ADDED 11.7.23 ex-works price update 11.17,,,,,,,,C5119DC0-6D13-4D39-AC14-9EF85AB4E491,,ACT-00004|SEA|MS23TA1|AB0001|ACTIVE||
ACT-00004,ACTIVELY BLACK,2023-07-10,,2024 SPRING,SPRING 24,DROP 01,,PERFORMANCE JERSEY & LEGGINGS,,CORE,,MANUFACTURED,JENNIFER NYBERG,,,,MS23TA1,,,,,,,,,,,,,,AB0001,,,,,,,,,,MEN'S SLEEVELESS PERFORMANCE HOODIE,,,,,,BLACK,PCE,,,,,30.0,,75.0,,120.0,,115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,500.0,ACTIVE,US,,,,,,,2024-01-10,2023-12-01,DDP,SEA,,Added 11.7.23 qty updated 18.7.23 season updated 23.8.23 dest updated 15.11.23 desc updated 22.11.23,AB0001MS23TA1BLACK500,,,,21.9100,15.7500,21.0000,0.2000,,0.6100,0.1000,,,,21.910000000000000,6109.90.10.13,0.320000,5.0400,,0.075000,1.1800,28.129999999999999,,,,,,,,,,43.8200,,PRICES ADDED 11.7.23 ex-works price update 11.17,,,,,,,,E2C88B47-FD9B-4AEF-864D-88A39693FAB1,,ACT-00004|SEA|MS23TA1|AB0001|ACTIVE||
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[DIFF_COLS] ['CUSTOMER PRICE', 'USA ONLY LSTP 75% EX WORKS', 'EX WORKS (USD)', 'ADMINISTRATION FEE', 'FX CHARGE', 'HANDLING', 'FINAL FOB (USD)', 'US DUTY RATE', 'US DUTY', 'US TARIFF RATE', 'US TARIFF', 'DDP US (USD)', 'SMS PRICE USD', 'record_uuid']"
ACT-00005,ACTIVELY BLACK,2023-07-10,,2024 SPRING,SPRING 24,DROP 01,,PERFORMANCE JERSEY & LEGGINGS,,CORE,,MANUFACTURED,JENNIFER NYBERG,,,,MS23JG1,,,,,,,,,,,,,,AB0001,,,,,,,,,,MEN'S PERFORMANCE JOGGERS,,,,,,BLACK,PCE,,,,,30.0,,160.0,,270.0,,205.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,850.0,ACTIVE,US,,,,,,,2024-01-10,2023-12-01,DDP,SEA,,Added 11.7.23 qty updated 18.7.23 season updated 23.8.23 dest updated 15.11.23 desc updated 22.11.23,AB0001MS23JG1BLACK850,,,,22.1,15.89,21.19,0.2,,0.61,0.1,,,,22.1,6103.43.15.20,0.282,4.48,,0.075,1.19,27.77,,,,,,,,,,44.2,,PRICES ADDED 11.7.23 ex-works price update 11.17,,,,,,,,ECAC805E-68A5-48A7-BE8F-1DF54759CFF6,,ACT-00005|SEA|MS23JG1|AB0001|ACTIVE||
