AAG ORDER NUMBER,CUSTOMER NAME,ORDER DATE PO RECEIVED,CUSTOMER ALT PO,AAG SEASON,CUSTOMER SEASON,DROP,MONTH,RANGE / COLLECTION,PROMO GROUP / CAMPAIGN (HOT 30/GLOBAL EDIT,CATEGORY,PATTERN ID,MAKE OR BUY,PLANNER,ORIGINAL ALIAS/RELATED ITEM,PRICING ALIAS/RELATED ITEM,ALIAS/RELATED ITEM,CUSTOMER STYLE,CUSTOMER''S COLOUR CODE (CUSTOM FIELD) CUSTOMER PROVIDES THIS,ACTIVE,All,Multiple Items,FACILITY CODE,BULK AGREEMENT NUMBER,Sum of TOTAL QTY,BULK AGREEMENT DESCRIPTION,CUSTOMER CODE,CO NUMBER - INITIAL DISTRO,CO NUMBER (INITIAL DISTRO),CO NUMBER (ALLOCATION DISTRO),CO NUMBER - ALLOCATION DISTRO,PO NUMBER,AAG SEASON CODE,INFOR MAKE/BUY CODE,PLANNER2,ITEM TYPE CODE,INFOR ITEM TYPE CODE,PRODUCT GROUP CODE,MAKE/BUY CODE,INFOR PRODUCT GROUP CODE,ITEM GROUP CODE,STYLE DESCRIPTION,INFOR ITEM GROUP CODE,GENDER GROUP CODE,INFOR GENDER GROUP CODE,FABRIC TYPE CODE,INFOR FABRIC TYPE CODE,CUSTOMER COLOUR DESCRIPTION,UNIT OF MEASURE,INFOR COLOUR CODE,XXXS,XXS,XS,S,S/M,M,M/L,L,L/XL,XL,XXL,XXXL,0,2,4,6,8,10,12,14,16,18,20,0-3M,3-6M,6-9M,9-12M,12-18M,18-24M,2T,3T,4T,5T,6T,30/30,30/32,32/30,32/32,34/30,34/32,36/30,36/32,32C,32D,32DD,34C,34D,34DD,36C,36D,36DD,OS,ONE SIZE,0w,10w,12w,1X,2/3,22,24,26,27,28,28-30L,29,2w,2X,2XL,30,30-30L,30-31L,30-32L,30X30,31,31/30,31/32,31-30L,31-31L,31-32L,31X30,32,32/34,32/36,32-30L,32-31L,32-32L,32DDD,32X30,33,33/30,33/32,33-30L,33-31L,33-32L,34,34/34,34-30L,34-31L,34-32L,34DDD,34X30,35,35/30,35/32,35-30L,35-31L,35-32L,36,36/34,36-30L,36-31L,36-32L,36DDD,36X30,38,38/30,38/32,38/34,38/36,38-30L,38-31L,38-32L,38C,38D,38DD,38DDD,38X30,3X,3XL,4/5,40,40/30,40/32,40-30L,40-31L,40X30,42,44,46,48,4w,4X,4XL,4XT,5,50,52,54,56,58,6/7,60,6w,7,8w,9,L(10-12),L(14-16),M(10-12),M(8-10),S(6-8),TOTAL QTY,ORDER TYPE,DESTINATION,DESTINATION WAREHOUSE,ALLOCATION (CHANNEL),SHOP NAME,COLLECTION DELIVERY,SHOP CODE,TRACKING NUMBER,ETA CUSTOMER WAREHOUSE DATE,EX FACTORY DATE,DELIVERY TERMS,PLANNED DELIVERY METHOD,DELIVERY CODE (MODL),NOTES,VALIDATION,VALIDATION2,VALIDATION3,VALIDATION4,CUSTOMER PRICE,USA ONLY LSTP 75% EX WORKS,EX WORKS (USD),ADMINISTRATION FEE,DESIGN FEE,FX CHARGE,HANDLING,PNP,SURCHARGE FEE,DISCOUNT,FINAL FOB (USD),HS CODE,US DUTY RATE,US DUTY,FREIGHT,US TARIFF RATE,US TARIFF,DDP US (USD),UK DUTY RATE,UK FREIGHT,UK INSURANCE,UK CIF,UK DUTY,DDP UK (USD),CAN DUTY RATE,CAN DUTY,DDP CAN (USD),SMS PRICE USD,FINAL PRICES Y/N,NOTES FOR PRICE,PRICING NOTES,Delta,Warehouse,ORTP (ORDER TYPE),Longson Alias,BUAR (BUSINESS AREA UNIT),ADID,record_uuid,RESOLVED_BY,ORDER_KEY
AIM-00080,AIME LEON DORE,2024-10-02,,2025 SPRING,2025 SPRING,,APRIL,GOLF,,,,,VIVIANA GARCIA,,,,SS25WT027,,,,,,,,,,,,,,9215,,,,,,,,,,SS GOLF SHIRT,,,,,,BRIGHT WHITE,PCE,,,,,1.0,,2.0,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,CANCELLED,NETHERLANDS,,,,,,,2025-03-28,2025-03-14,FOB,AIR,,Added 2.10.24 cancelled 9.10.24,2025 SPRING9215SS25WT027,,,,,0,,,,,,,,,0,,,0,0,,0,0,,,,,,,,,,0,,,,,,,,,,71B0E35D-82FE-4600-8545-6E67241AB84D,,AIM-00080|AIR|SS25WT027|9215|CANCELLED||
AIM-00080,AIME LEON DORE,2024-10-02,,2025 SPRING,2025 SPRING,,APRIL,GOLF,,,,,VIVIANA GARCIA,,,,SS25WT027,,,,,,,,,,,,,,9215,,,,,,,,,,SS GOLF SHIRT,,,,,,BRIGHT WHITE,PCE,,,,,1.0,,2.0,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANCELLED,NETHERLANDS,,,,,,,2025-03-28,2025-03-14,FOB,AIR,,Added 2.10.24 cancelled 9.10.24,2025 SPRING9215SS25WT027,,,,,0.0000,,,,,,,,,0.000000000000000,,,0.0000,0,,0.0000,0.000000000000000,,,,,,,,,,0.0000,,,,,,,,,,2314CDA1-758D-4227-99FD-41123BBF1926,,AIM-00080|AIR|SS25WT027|9215|CANCELLED||
AIM-00092,AIME LEON DORE,2024-10-02,,2025 SPRING,2025 SPRING,,APRIL,GOLF,,,,,VIVIANA GARCIA,,,,SS25WT027,,,,,,,,,,,,,,9217,,,,,,,,,,SS GOLF SHIRT,,,,,,BRIGHT WHITE,PCE,,,,1.0,2.0,,6.0,,3.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,CANCELLED,"NORTH SHIELDS, UK",,,,,,,2025-03-28,2025-03-14,FOB,AIR,,Added 2.10.24 cancelled 9.10.24,2025 SPRING9217SS25WT027,,,,,0,,,,,,,,,0,,,0,0,,0,0,,,,,,,,,,0,,,,,,,,,,21205B35-751F-49F3-BC40-0971E73CA9EB,,AIM-00092|AIR|SS25WT027|9217|CANCELLED||
AIM-00092,AIME LEON DORE,2024-10-02,,2025 SPRING,2025 SPRING,,APRIL,GOLF,,,,,VIVIANA GARCIA,,,,SS25WT027,,,,,,,,,,,,,,9217,,,,,,,,,,SS GOLF SHIRT,,,,,,BRIGHT WHITE,PCE,,,,1.0,2.0,,6.0,,3.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANCELLED,"NORTH SHIELDS, UK",,,,,,,2025-03-28,2025-03-14,FOB,AIR,,Added 2.10.24 cancelled 9.10.24,2025 SPRING9217SS25WT027,,,,,0.0000,,,,,,,,,0.000000000000000,,,0.0000,0,,0.0000,0.000000000000000,,,,,,,,,,0.0000,,,,,,,,,,0D826C5F-90A4-43BB-882E-FE8754A3BE80,,AIM-00092|AIR|SS25WT027|9217|CANCELLED||
AIM-00104,AIME LEON DORE,2024-10-02,,2025 SPRING,2025 SPRING,,APRIL,GOLF,,,,,VIVIANA GARCIA,,,,SS25WT027,,,,,,,,,,,,,,9219,,,,,,,,,,SS GOLF SHIRT,,,,,,BRIGHT WHITE,PCE,,,,2.0,8.0,,26.0,,27.0,,15.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,CANCELLED,"RUTHERFORD, NJ",,,,,,,2025-03-28,2025-03-14,FOB,AIR,,Added 2.10.24 cancelled 9.10.24,2025 SPRING9219SS25WT027,,,,,0,,,,,,,,,0,,,0,0,,0,0,,,,,,,,,,0,,,,,,,,,,974EC15E-CE4A-45DE-AA0F-9D430814881B,,AIM-00104|AIR|SS25WT027|9219|CANCELLED||
AIM-00104,AIME LEON DORE,2024-10-02,,2025 SPRING,2025 SPRING,,APRIL,GOLF,,,,,VIVIANA GARCIA,,,,SS25WT027,,,,,,,,,,,,,,9219,,,,,,,,,,SS GOLF SHIRT,,,,,,BRIGHT WHITE,PCE,,,,2.0,8.0,,26.0,,27.0,,15.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANCELLED,"RUTHERFORD, NJ",,,,,,,2025-03-28,2025-03-14,FOB,AIR,,Added 2.10.24 cancelled 9.10.24,2025 SPRING9219SS25WT027,,,,,0.0000,,,,,,,,,0.000000000000000,,,0.0000,0,,0.0000,0.000000000000000,,,,,,,,,,0.0000,,,,,,,,,,6847F781-45B4-4991-8CDF-0556CCB3086C,,AIM-00104|AIR|SS25WT027|9219|CANCELLED||
EQU-08746,EQUINOX,2024-03-01,,2024 Q2,Q3 2024,,JULY,,,,,MANUFACTURED,VIVIANA GARCIA,,,,EQXU082301,,,,,,,,,,,,,,TBD,,,,,,,,,,EQUINOX 2023 UNISEX TEE,,,,,,WHITE,PCE,,,,59.0,110.0,,206.0,,176.0,,92.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Cancelled,USA,102,,,,,,2024-07-17,2024-06-11,DDP,FAST BOAT,,Added 1.3.24 color updated 6.3.24 cancelled 12.3.24,TBDEQXU082301WHITE0,,,,,10.71,14.28,0.2,0.5,0.61,0.1,0.3,,,15.99,6109.10.00.40,0.165,1.77,2.5,0.075,0.8,21.06,,,,,,,,,,31.98,n,price added 3.1,,,,,,,,F5D040C4-A5E2-4102-9620-6F00B2A184A7,,EQU-08746|FAST BOAT|EQXU082301|TBD|Cancelled||
EQU-08746,EQUINOX,2024-03-01,,2024 Q2,Q3 2024,,JULY,,,,,MANUFACTURED,VIVIANA GARCIA,,,,EQXU082301,,,,,,,,,,,,,,TBD,,,,,,,,,,EQUINOX 2023 UNISEX TEE,,,,,,WHITE,PCE,,,,9.0,20.0,,32.0,,27.0,,21.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Cancelled,USA,30,,,,,,2024-07-17,2024-06-11,DDP,FAST BOAT,,Added 1.3.24 color updated 6.3.24 cancelled 12.3.24,TBDEQXU082301WHITE0,,,,,10.71,14.28,0.2,0.5,0.61,0.1,0.3,,,15.99,6109.10.00.40,0.165,1.77,2.5,0.075,0.8,21.06,,,,,,,,,,31.98,n,price added 3.1,,,,,,,,4BDD8DB8-4FED-47B0-868D-B1285339B59E,,EQU-08746|FAST BOAT|EQXU082301|TBD|Cancelled||
EQU-08746,EQUINOX,2024-03-01,,2024 Q2,Q3 2024,,JULY,,,,,MANUFACTURED,VIVIANA GARCIA,,,,EQXU082301,,,,,,,,,,,,,,TBD,,,,,,,,,,EQUINOX 2023 UNISEX TEE,,,,,,WHITE,PCE,,,,2.0,4.0,,7.0,,6.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Cancelled,CA,852,,,,,,2024-07-17,2024-06-11,DDP,FAST BOAT,,Added 1.3.24 color updated 6.3.24 cancelled 12.3.24,TBDEQXU082301WHITE0,,,,,10.71,14.28,0.2,0.5,0.61,0.1,0.3,,,15.99,6109.10.00.40,0.165,1.77,2.5,0.075,0.8,21.06,,,,,,,,,,31.98,n,price added 3.1,,,,,,,,87C508F8-B98D-453C-8A70-F013C1F37DBB,,EQU-08746|FAST BOAT|EQXU082301|TBD|Cancelled||
EQU-08746,EQUINOX,2024-03-01,,2024 Q2,Q3 2024,,JULY,,,,,MANUFACTURED,VIVIANA GARCIA,,,,EQXU082301,,,,,,,,,,,,,,TBD,,,,,,,,,,EQUINOX 2023 UNISEX TEE,,,,,,WHITE,PCE,,,,2.0,4.0,,7.0,,6.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Cancelled,CA,854,,,,,,2024-07-17,2024-06-11,DDP,FAST BOAT,,Added 1.3.24 color updated 6.3.24 cancelled 12.3.24,TBDEQXU082301WHITE0,,,,,10.71,14.28,0.2,0.5,0.61,0.1,0.3,,,15.99,6109.10.00.40,0.165,1.77,2.5,0.075,0.8,21.06,,,,,,,,,,31.98,n,price added 3.1,,,,,,,,82C4C1FB-20F2-4096-BA42-0A1D7A6396BE,,EQU-08746|FAST BOAT|EQXU082301|TBD|Cancelled||
