Customer_PO,Shipping_Method,Style,Color,Size,Shipped_Date,Customer,Season,shippingCountry,RESOLVED_BY,Qty,SHIP_KEY
4492,AIR,MCLSCB64,001 - SHEPHERD,31/32,07/04/25,GREYSON,,USA,,10,4492|AIR|MCLSCB64|001 - SHEPHERD|31/32
4492,AIR,MCLSCB64,001 - SHEPHERD,31/32,07/06/25,GREYSON,,USA,,1,4492|AIR|MCLSCB64|001 - SHEPHERD|31/32
4492,AIR,MCLSCB64,001 - SHEPHERD,34/32,07/04/25,GREYSON,,USA,,59,4492|AIR|MCLSCB64|001 - SHEPHERD|34/32
4492,AIR,MCLSCB64,001 - SHEPHERD,34/32,07/06/25,GREYSON,,USA,,3,4492|AIR|MCLSCB64|001 - SHEPHERD|34/32
4492,AIR,MCLSCB64,001 - SHEPHERD,35/32,07/04/25,GREYSON,,USA,,16,4492|AIR|MCLSCB64|001 - SHEPHERD|35/32
4492,AIR,MCLSCB64,001 - SHEPHERD,35/32,07/06/25,GREYSON,,USA,,8,4492|AIR|MCLSCB64|001 - SHEPHERD|35/32
4492,AIR,MCLSCB64,001 - SHEPHERD,36/34,07/04/25,GREYSON,,USA,,6,4492|AIR|MCLSCB64|001 - SHEPHERD|36/34
4492,AIR,MCLSCB64,001 - SHEPHERD,36/34,07/06/25,GREYSON,,USA,,1,4492|AIR|MCLSCB64|001 - SHEPHERD|36/34
4492,AIR,MCLSCB64,261 - RIVERSTONE,30/32,07/04/25,GREYSON,,USA,,16,4492|AIR|MCLSCB64|261 - RIVERSTONE|30/32
4492,AIR,MCLSCB64,261 - RIVERSTONE,30/32,07/06/25,GREYSON,,USA,,13,4492|AIR|MCLSCB64|261 - RIVERSTONE|30/32
4492,AIR,MCLSCB64,261 - RIVERSTONE,32/32,07/04/25,GREYSON,,USA,,25,4492|AIR|MCLSCB64|261 - RIVERSTONE|32/32
4492,AIR,MCLSCB64,261 - RIVERSTONE,32/32,07/06/25,GREYSON,,USA,,36,4492|AIR|MCLSCB64|261 - RIVERSTONE|32/32
4492,AIR,MCLSCB64,261 - RIVERSTONE,33/32,07/04/25,GREYSON,,USA,,12,4492|AIR|MCLSCB64|261 - RIVERSTONE|33/32
4492,AIR,MCLSCB64,261 - RIVERSTONE,33/32,07/06/25,GREYSON,,USA,,15,4492|AIR|MCLSCB64|261 - RIVERSTONE|33/32
4492,AIR,MCLSCB64,261 - RIVERSTONE,34/32,07/04/25,GREYSON,,USA,,13,4492|AIR|MCLSCB64|261 - RIVERSTONE|34/32
4492,AIR,MCLSCB64,261 - RIVERSTONE,34/32,07/06/25,GREYSON,,USA,,43,4492|AIR|MCLSCB64|261 - RIVERSTONE|34/32
4492,AIR,MCLSCB64,261 - RIVERSTONE,34/34,07/04/25,GREYSON,,USA,,2,4492|AIR|MCLSCB64|261 - RIVERSTONE|34/34
4492,AIR,MCLSCB64,261 - RIVERSTONE,34/34,07/06/25,GREYSON,,USA,,3,4492|AIR|MCLSCB64|261 - RIVERSTONE|34/34
4492,AIR,MCLSCB64,261 - RIVERSTONE,35/32,07/04/25,GREYSON,,USA,,15,4492|AIR|MCLSCB64|261 - RIVERSTONE|35/32
4492,AIR,MCLSCB64,261 - RIVERSTONE,35/32,07/06/25,GREYSON,,USA,,8,4492|AIR|MCLSCB64|261 - RIVERSTONE|35/32
4492,AIR,MCLSCB64,261 - RIVERSTONE,36/32,07/04/25,GREYSON,,USA,,27,4492|AIR|MCLSCB64|261 - RIVERSTONE|36/32
4492,AIR,MCLSCB64,261 - RIVERSTONE,36/32,07/06/25,GREYSON,,USA,,26,4492|AIR|MCLSCB64|261 - RIVERSTONE|36/32
4492,AIR,MCLSCB64,261 - RIVERSTONE,36/34,07/04/25,GREYSON,,USA,,4,4492|AIR|MCLSCB64|261 - RIVERSTONE|36/34
4492,AIR,MCLSCB64,261 - RIVERSTONE,36/34,07/06/25,GREYSON,,USA,,2,4492|AIR|MCLSCB64|261 - RIVERSTONE|36/34
4492,AIR,MCLSCB64,261 - RIVERSTONE,38/32,07/04/25,GREYSON,,USA,,20,4492|AIR|MCLSCB64|261 - RIVERSTONE|38/32
4492,AIR,MCLSCB64,261 - RIVERSTONE,38/32,07/06/25,GREYSON,,USA,,4,4492|AIR|MCLSCB64|261 - RIVERSTONE|38/32
4492,AIR,MCLSCB64,417 - MALTESE BLUE,30/32,06/04/25,GREYSON,,USA,,17,4492|AIR|MCLSCB64|417 - MALTESE BLUE|30/32
4492,AIR,MCLSCB64,417 - MALTESE BLUE,30/32,07/04/25,GREYSON,,USA,,3,4492|AIR|MCLSCB64|417 - MALTESE BLUE|30/32
4492,AIR,MCLSCB64,417 - MALTESE BLUE,32/32,06/04/25,GREYSON,,USA,,44,4492|AIR|MCLSCB64|417 - MALTESE BLUE|32/32
4492,AIR,MCLSCB64,417 - MALTESE BLUE,32/32,07/04/25,GREYSON,,USA,,11,4492|AIR|MCLSCB64|417 - MALTESE BLUE|32/32
4492,AIR,MCLSCB64,417 - MALTESE BLUE,32/32,07/06/25,GREYSON,,USA,,3,4492|AIR|MCLSCB64|417 - MALTESE BLUE|32/32
4492,AIR,MCLSCB64,417 - MALTESE BLUE,33/32,06/04/25,GREYSON,,USA,,3,4492|AIR|MCLSCB64|417 - MALTESE BLUE|33/32
4492,AIR,MCLSCB64,417 - MALTESE BLUE,33/32,07/06/25,GREYSON,,USA,,13,4492|AIR|MCLSCB64|417 - MALTESE BLUE|33/32
